Rank,University,Faculty,Title,Research,Website,Email,Status,is_chinese,send_priority,full_research,scholarid
1,Carnegie Mellon University,Matt Fredrikson,,"AI,Interdisciplinary Areas ,System,Theory",http://www.cs.cmu.edu/~mfredrik,,,,," Natural language processing,Artificial intelligence,Machine learning,Human-computer interaction,Computer security,Databases,Mobile computing, Logic & verification",tMYCvLAAAAAJ
1,Carnegie Mellon University,Bruno Sinopoli,,"Interdisciplinary Areas ,System",https://users.ece.cmu.edu/~brunos,,,,,"Robotics,Computer networks,Embedded & real-time systems ,Mobile computing",zZO9qG4AAAAJ
1,Carnegie Mellon University,Mayank Goel,,"Interdisciplinary Areas ,System",https://www.hcii.cmu.edu/people/mayank-goel,,,,,"Human-computer interaction,Mobile computing",32eGduMAAAAJ
1,Carnegie Mellon University,Swarun Kumar,,"Interdisciplinary Areas ,System",https://swarunkumar.com,,,,,"Human-computer interaction,Robotics,Computer networks,Computer security,Mobile computing",WfaqxlgAAAAJ
1,Carnegie Mellon University,Jason I. Hong,,"AI,Interdisciplinary Areas ,System",http://www.cs.cmu.edu/~jasonh,,,,,"Machine learning,The Web & information retrieval   ,Human-computer interaction,Computer security,Mobile computing",MoFbcc0AAAAJ
1,Carnegie Mellon University,Maarten Sap,,"AI,Interdisciplinary Areas ",https://maartensap.com,,,,," Natural language processing,Artificial intelligence,Machine learning,Human-computer interaction",gFN4QUYAAAAJ
1,Carnegie Mellon University,Aniket Kittur,,"AI,Interdisciplinary Areas ",https://www.hcii.cmu.edu/people/aniket-kittur,,,,,"Artificial intelligence,Machine learning,Human-computer interaction",2vZ5zRQAAAAJ
1,Carnegie Mellon University,Weina Wang 0001,,"AI,Interdisciplinary Areas ,System",https://www.cs.cmu.edu/~weinaw,,,,,"Machine learning,Economics & computation,Computer networks,Measurement & perf. analysis ",mQnBkmoAAAAJ
1,Carnegie Mellon University,Carl Kingsford,,"AI,Interdisciplinary Areas ,System,Theory",http://www.cs.cmu.edu/~ckingsf,,,,,"Machine learning,Comp. bio & bioinformatics,Databases,Algorithms & complexity",V_cvqKcAAAAJ
1,Carnegie Mellon University,Wenting Zheng,,"AI,Interdisciplinary Areas ,System",https://wzheng.github.io,,,,,"Machine learning, Computer graphics,Computer networks,Computer security,Operating systems",OeDgxpgAAAAJ
1,Carnegie Mellon University,AndrÃ© Platzer,,"AI,Interdisciplinary Areas ,System,Theory",http://symbolaris.com,,,,,"Artificial intelligence,Machine learning,Robotics,Embedded & real-time systems ,Programming languages, Logic & verification",Y80iWtgAAAAJ
1,Carnegie Mellon University,Carolyn P. RosÃ©,,"AI,Interdisciplinary Areas ",http://www.cs.cmu.edu/~cprose,,,,," Natural language processing,Artificial intelligence,Human-computer interaction",BMydCgcAAAAJ
1,Carnegie Mellon University,Lujo Bauer,,"AI,Interdisciplinary Areas ,System",http://www.ece.cmu.edu/~lbauer,,,,,"Machine learning,The Web & information retrieval   ,Human-computer interaction,Computer security,Operating systems,Programming languages",5cJzDZEAAAAJ
1,Carnegie Mellon University,Luis von Ahn,,"AI,Interdisciplinary Areas ,System,Theory",https://www.cs.cmu.edu/~biglou,,,,,"Machine learning,Human-computer interaction,Computer security,Operating systems,Algorithms & complexity,Cryptography",NOSCHOLARPAGE
1,Carnegie Mellon University,Takeo Kanade,,"AI,Interdisciplinary Areas ",http://www.ri.cmu.edu/people/kanade_takeo.html,,,,,"Artificial intelligence,Computer vision,Machine learning, Computer graphics,Robotics,Visualization",LQ87h3sAAAAJ
1,Carnegie Mellon University,Louis-Philippe Morency,,"AI,Interdisciplinary Areas ",https://www.cs.cmu.edu/~morency,,,,," Natural language processing,Artificial intelligence,Computer vision,Machine learning, Computer graphics,Human-computer interaction",APgaFK0AAAAJ
1,Carnegie Mellon University,Andrew Begel,,"Interdisciplinary Areas ,System",https://s3d.cmu.edu/people/core-faculty/begel-andrew1.html,,,,,"Computer science education,Human-computer interaction,Computer networks,Software engineering",H_oWiFsAAAAJ
1,Carnegie Mellon University,James McCann,,"AI,Interdisciplinary Areas ",http://www.cs.cmu.edu/~jmccann,,,,,"Machine learning, Computer graphics,Human-computer interaction,Robotics",NOSCHOLARPAGE
1,Carnegie Mellon University,Lorrie Faith Cranor,,"AI,Interdisciplinary Areas ,System",http://lorrie.cranor.org,,,,,"The Web & information retrieval   ,Economics & computation,Human-computer interaction,Computer security,Operating systems",kIUqgbcAAAAJ
1,Carnegie Mellon University,William Whittaker,,"AI,Interdisciplinary Areas ",http://www.ri.cmu.edu/person.html?person_id=339,,,,,"Artificial intelligence,Computer vision,Machine learning, Computer graphics,Robotics",ouKJUyEAAAAJ
1,Carnegie Mellon University,Gary K. Fedder,,"Interdisciplinary Areas ,System",https://users.ece.cmu.edu/~fedder,,,,,"Human-computer interaction,Robotics,Design automation",JOMYt6gAAAAJ
1,Carnegie Mellon University,Michael A. Erdmann,,Interdisciplinary Areas ,http://www.cs.cmu.edu/~me,,,,," Computer graphics,Comp. bio & bioinformatics,Robotics",YnHzhAwAAAAJ
1,Carnegie Mellon University,Lining Yao,,Interdisciplinary Areas ,http://morphingmatter.cs.cmu.edu,,,,,Human-computer interaction,FEnuzckAAAAJ
1,Carnegie Mellon University,Changliu Liu,,"AI,Interdisciplinary Areas ,System",https://www.ri.cmu.edu/ri-faculty/changliu-liu,,,,,"Artificial intelligence,Robotics,Embedded & real-time systems ",vvzAfOwAAAAJ
1,Carnegie Mellon University,Jignesh M. Patel,,"Interdisciplinary Areas ,System",https://jigneshpatel.org,,,,,"Computer science education,Computer architecture,Databases,Measurement & perf. analysis ",tOjfnFMAAAAJ
1,Carnegie Mellon University,James D. Herbsleb,,"AI,Interdisciplinary Areas ,System",http://herbsleb.org,,,,,"The Web & information retrieval   ,Human-computer interaction,Mobile computing,Programming languages,Software engineering",NOSCHOLARPAGE
1,Carnegie Mellon University,Amy Ogan,,Interdisciplinary Areas ,https://www.hcii.cmu.edu/people/amy-ogan,,,,,"Computer science education,Human-computer interaction",I0ZGaCQAAAAJ
1,Carnegie Mellon University,Srinivasan Seshan,,"Interdisciplinary Areas ,System",http://www.cs.cmu.edu/~srini,,,,,"Human-computer interaction,Robotics,Visualization,Computer architecture,Computer networks,Computer security,Databases,Measurement & perf. analysis ,Mobile computing,Operating systems",0irVeiQAAAAJ
1,Carnegie Mellon University,Srinivasa G. Narasimhan,,"AI,Interdisciplinary Areas ",http://www.cs.cmu.edu/~srinivas,,,,,"Computer vision, Computer graphics,Robotics",MhYrLJAAAAAJ
1,Carnegie Mellon University,William L. Scherlis,,"Interdisciplinary Areas ,System",http://www.cs.cmu.edu/~wls,,,,,"Human-computer interaction,Programming languages,Software engineering",F6LzqwMAAAAJ
1,Carnegie Mellon University,Bruce H. Krogh,,"Interdisciplinary Areas ,System",https://www.ece.cmu.edu/directory/details/89,,,,,"Robotics,Design automation,Embedded & real-time systems ,Mobile computing",s4yZTp4AAAAJ
1,Carnegie Mellon University,Maxim Likhachev,,"AI,Interdisciplinary Areas ,System",https://www.ri.cmu.edu/ri-faculty/maxim-likhachev,,,,,"Artificial intelligence,Computer vision,Machine learning,Robotics,Computer architecture",Ic8NqXwAAAAJ
1,Carnegie Mellon University,Vyas Sekar,,"AI,Interdisciplinary Areas ,System",https://users.ece.cmu.edu/~vsekar,,,,,"Artificial intelligence,Machine learning,Human-computer interaction,Computer networks,Computer security,Databases,Measurement & perf. analysis ,Mobile computing,Operating systems",5V852JcAAAAJ
1,Carnegie Mellon University,Martial Hebert,,"AI,Interdisciplinary Areas ",http://www.cs.cmu.edu/~./hebert,,,,,"Artificial intelligence,Computer vision,Machine learning, Computer graphics,Robotics",0ytii2EAAAAJ
1,Carnegie Mellon University,Tom M. Mitchell,,"AI,Interdisciplinary Areas ,System",http://www.cs.cmu.edu/~tom,,,,," Natural language processing,Artificial intelligence,Computer vision,Machine learning,The Web & information retrieval   ,Comp. bio & bioinformatics,Human-computer interaction,Robotics,Design automation",_ZVyA_gAAAAJ
1,Carnegie Mellon University,Robert E. Kraut,,"AI,Interdisciplinary Areas ",http://kraut.hciresearch.org,,,,," Natural language processing,The Web & information retrieval   ,Human-computer interaction",HKGYvu4AAAAJ
1,Carnegie Mellon University,Bernhard Haeupler,,"Interdisciplinary Areas ,Theory",http://www.cs.cmu.edu/~haeupler,,,,,"Economics & computation,Algorithms & complexity",hIq09eUAAAAJ
1,Carnegie Mellon University,Maria-Florina Balcan,,"AI,Interdisciplinary Areas ,Theory",https://www.cs.cmu.edu/~ninamf,,,,,"Artificial intelligence,Machine learning,Economics & computation,Algorithms & complexity",LWlN_BUAAAAJ
1,Carnegie Mellon University,Jodi Forlizzi,,Interdisciplinary Areas ,https://www.hcii.cmu.edu/people/jodi-forlizzi,,,,,"Human-computer interaction,Robotics",Hyhp_zUAAAAJ
1,Carnegie Mellon University,Frank Pfenning,,"Interdisciplinary Areas ,System,Theory",http://www.cs.cmu.edu/~fp,,,,,"Robotics,Computer security,Programming languages, Logic & verification",ghWKWBUAAAAJ
1,Carnegie Mellon University,Mary Shaw,,"Interdisciplinary Areas ,System",http://www.cs.cmu.edu/~shaw,,,,,"Human-computer interaction,Software engineering",CTXoO1AAAAAJ
1,Carnegie Mellon University,Jian Ma 0004,,"AI,Interdisciplinary Areas ",http://www.cs.cmu.edu/~jianma,,,,,"Machine learning,Comp. bio & bioinformatics,Visualization",kDZcBhkAAAAJ
1,Carnegie Mellon University,Tuomas Sandholm,,"AI,Interdisciplinary Areas ,Theory",http://www.cs.cmu.edu/~sandholm,,,,,"Artificial intelligence,Machine learning,Economics & computation,Algorithms & complexity",0DpK1EMAAAAJ
1,Carnegie Mellon University,Patrick Carrington,,"AI,Interdisciplinary Areas ",http://www.patrickcarrington.com,,,,,"The Web & information retrieval   ,Human-computer interaction",3ALpUOEAAAAJ
1,Carnegie Mellon University,Jessica K. Hodgins,,"AI,Interdisciplinary Areas ",http://www.cs.cmu.edu/~jkh,,,,,"Computer vision, Computer graphics,Human-computer interaction,Robotics",NOSCHOLARPAGE
1,Carnegie Mellon University,Jessica Hammer,,Interdisciplinary Areas ,https://www.hcii.cmu.edu/people/jessica-hammer,,,,,Human-computer interaction,vSvRUAkAAAAJ
1,Carnegie Mellon University,John C. Stamper,,Interdisciplinary Areas ,https://www.hcii.cmu.edu/people/john-stamper,,,,,Human-computer interaction,VFGDcvoAAAAJ
1,Carnegie Mellon University,Fernando Diaz 0001,,"AI,Interdisciplinary Areas ",https://841.io,,,,," Natural language processing,Artificial intelligence,The Web & information retrieval   ,Economics & computation,Human-computer interaction",212SLn0AAAAJ
1,Carnegie Mellon University,Robert F. Murphy,,"AI,Interdisciplinary Areas ",http://murphylab.web.cmu.edu,,,,,"Machine learning,Comp. bio & bioinformatics",qQLlBH4AAAAJ
1,Carnegie Mellon University,Manuel Blum 0001,,"Interdisciplinary Areas ,Theory",https://www.cs.cmu.edu/~mblum,,,,,"Human-computer interaction,Algorithms & complexity,Cryptography",7S-LSKoAAAAJ
1,Carnegie Mellon University,Matthew O'Toole,,"AI,Interdisciplinary Areas ",https://www.ri.cmu.edu/ri-faculty/matthew-otoole,,,,,"Computer vision,Machine learning, Computer graphics",0GLMGTEAAAAJ
1,Carnegie Mellon University,Deva Ramanan,,"AI,Interdisciplinary Areas ,System",http://www.cs.cmu.edu/~deva,,,,,"Artificial intelligence,Computer vision,Machine learning,Robotics,Mobile computing",9B8PoXUAAAAJ
1,Carnegie Mellon University,Peter Steenkiste,,"Interdisciplinary Areas ,System",http://www.cs.cmu.edu/~prs,,,,,"Human-computer interaction,Computer architecture,Computer networks,High-performance computing,Measurement & perf. analysis ,Mobile computing,Operating systems",DK7TEvkAAAAJ
1,Carnegie Mellon University,Bogdan Vasilescu,,"AI,Interdisciplinary Areas ,System",http://bvasiles.github.io,,,,," Natural language processing,Human-computer interaction,Computer security,Software engineering",bcXjlqYAAAAJ
1,Carnegie Mellon University,Vincent Aleven,,"AI,Interdisciplinary Areas ",http://www.cs.cmu.edu/~./aleven,,,,,"Artificial intelligence,Human-computer interaction",ztkfnCsAAAAJ
1,Carnegie Mellon University,Fei Fang 0001,,"AI,Interdisciplinary Areas ",https://www.andrew.cmu.edu/user/feif,,,,,"Artificial intelligence,Machine learning,The Web & information retrieval   ,Human-computer interaction,Robotics",VdZQ1EgAAAAJ
1,Carnegie Mellon University,Roger B. Dannenberg,,"AI,Interdisciplinary Areas ",https://www.cs.cmu.edu/~rbd,,,,,"Artificial intelligence,Machine learning,Human-computer interaction",whacJzwAAAAJ
1,Carnegie Mellon University,Vincent Conitzer,,"AI,Interdisciplinary Areas ,System,Theory",https://users.cs.duke.edu/~conitzer,,,,,"Artificial intelligence,Machine learning,The Web & information retrieval   ,Economics & computation,Measurement & perf. analysis ,Algorithms & complexity",juRk4lQAAAAJ
1,Carnegie Mellon University,Matthew T. Mason,,Interdisciplinary Areas ,http://www.cs.cmu.edu/~mason,,,,,Robotics,D_JpQnAAAAAJ
1,Carnegie Mellon University,John Zimmerman,,"AI,Interdisciplinary Areas ",https://www.cs.cmu.edu/~johnz,,,,,"The Web & information retrieval   ,Human-computer interaction",A-4JUL4AAAAJ
1,Carnegie Mellon University,Brad A. Myers,,"AI,Interdisciplinary Areas ,System",http://www.cs.cmu.edu/~bam,,,,,"Artificial intelligence, Computer graphics,Human-computer interaction,Operating systems,Programming languages,Software engineering",E1cp_aYAAAAJ
1,Carnegie Mellon University,Jonathan Aldrich,,"Interdisciplinary Areas ,System",http://www.cs.cmu.edu/~./aldrich,,,,," Computer graphics,Programming languages,Software engineering",AzHmOtcAAAAJ
1,Carnegie Mellon University,Chris Harrison 0001,,"Interdisciplinary Areas ,System",http://www.chrisharrison.net,,,,,"Human-computer interaction,High-performance computing",36HRdqMAAAAJ
1,Carnegie Mellon University,Christian KÃ¤stner,,"Interdisciplinary Areas ,System",https://www.cs.cmu.edu/~ckaestne,,,,,"Human-computer interaction,Programming languages,Software engineering",PR-ZnJUAAAAJ
1,Carnegie Mellon University,Deepak Pathak,,"AI,Interdisciplinary Areas ",https://people.eecs.berkeley.edu/~pathak,,,,,"Computer vision,Machine learning,Robotics",AEsPCAUAAAAJ
1,Carnegie Mellon University,Sivaraman Balakrishnan,,"AI,Interdisciplinary Areas ",http://www.stat.cmu.edu/~siva,,,,,"Machine learning,Economics & computation",o7yFQXUAAAAJ
1,Carnegie Mellon University,Ameet Talwalkar,,"AI,Interdisciplinary Areas ,System",https://www.cs.cmu.edu/~atalwalk,,,,,"Artificial intelligence,Computer vision,Machine learning,Comp. bio & bioinformatics,Human-computer interaction,Databases",TW7U1W0AAAAJ
1,Carnegie Mellon University,Ragunathan Rajkumar,,"AI,Interdisciplinary Areas ,System",https://users.ece.cmu.edu/~raj,,,,,"Computer vision,Robotics,Design automation,Embedded & real-time systems ,High-performance computing,Mobile computing,Operating systems",6JU9KqgAAAAJ
1,Carnegie Mellon University,Howie Choset,,"AI,Interdisciplinary Areas ",http://www.cs.cmu.edu/~./choset,,,,,"Artificial intelligence,Machine learning,Robotics",4fvo61oAAAAJ
1,Carnegie Mellon University,Seth Copen Goldstein,,"Interdisciplinary Areas ,System",http://www.cs.cmu.edu/~seth,,,,,"Robotics,Computer architecture,Design automation,High-performance computing,Programming languages",NoNHPb4AAAAJ
1,Carnegie Mellon University,Laura A. Dabbish,,"Interdisciplinary Areas ,System",http://www.lauradabbish.com,,,,,"Human-computer interaction,Computer security,Software engineering",DdNAgNwAAAAJ
1,Carnegie Mellon University,David P. Woodruff,,"AI,Interdisciplinary Areas ,System,Theory",http://www.cs.cmu.edu/~dwoodruf,,,,,"Artificial intelligence,Machine learning,The Web & information retrieval   ,Comp. bio & bioinformatics,Economics & computation,Computer security,Databases,Algorithms & complexity,Cryptography",kMmxbbIAAAAJ
1,Carnegie Mellon University,David Lindlbauer,,Interdisciplinary Areas ,https://www.davidlindlbauer.com,,,,,"Human-computer interaction,Visualization",DBkNLiwAAAAJ
1,Carnegie Mellon University,Alan M. Frieze,,"AI,Interdisciplinary Areas ,Theory",https://www.math.cmu.edu/~af1p,,,,,"Machine learning,Comp. bio & bioinformatics,Algorithms & complexity",EqKRQ4YAAAAJ
1,Carnegie Mellon University,Henny Admoni,,"AI,Interdisciplinary Areas ",https://www.ri.cmu.edu/ri-faculty/henny-admoni,,,,,"Artificial intelligence,Human-computer interaction,Robotics",XXiZaA4AAAAJ
1,Carnegie Mellon University,Randal E. Bryant,,"AI,Interdisciplinary Areas ,System,Theory",http://www.cs.cmu.edu/~bryant,,,,,"Artificial intelligence,Computer science education,Computer architecture,Computer security,Design automation,Operating systems,Software engineering, Logic & verification",AFgYa68AAAAJ
1,Carnegie Mellon University,Katerina Fragkiadaki,,"AI,Interdisciplinary Areas ",https://www.cs.cmu.edu/~katef,,,,,"Artificial intelligence,Computer vision,Machine learning,Robotics",FWp7728AAAAJ
1,Carnegie Mellon University,Scott E. Hudson,,"Interdisciplinary Areas ,System",http://www.cs.cmu.edu/~hudson,,,,,"Human-computer interaction,Robotics,Databases",6YU6_QoAAAAJ
1,Carnegie Mellon University,Yuvraj Agarwal,,"Interdisciplinary Areas ,System",http://www.synergylabs.org/yuvraj,,,,,"Human-computer interaction,Computer networks,Computer security,Design automation,Measurement & perf. analysis ,Mobile computing,Operating systems,Programming languages,Software engineering",H4UeZ2MAAAAJ
1,Carnegie Mellon University,Hartmut Geyer,,Interdisciplinary Areas ,https://www.cs.cmu.edu/~hgeyer,,,,,Robotics,aC5315UAAAAJ
1,Carnegie Mellon University,Norman M. Sadeh,,"AI,Interdisciplinary Areas ,System",http://www.normsadeh.org,,,,," Natural language processing,Artificial intelligence,Machine learning,The Web & information retrieval   ,Human-computer interaction,Computer security,Mobile computing",If_k6LgAAAAJ
1,Carnegie Mellon University,Raj Reddy,,"AI,Interdisciplinary Areas ",http://www.rr.cs.cmu.edu,,,,,"Artificial intelligence,Computer vision,Robotics",6n7rzokAAAAJ
1,Carnegie Mellon University,Kathleen M. Carley,,"AI,Interdisciplinary Areas ",http://www.casos.cs.cmu.edu/bios/carley/carley.html,,,,," Natural language processing,Artificial intelligence,Machine learning,The Web & information retrieval   ,Human-computer interaction",KeJfN-IAAAAJ
1,Carnegie Mellon University,Guy E. Blelloch,,"AI,Interdisciplinary Areas ,System,Theory",http://www.cs.cmu.edu/~guyb,,,,,"Artificial intelligence, Computer graphics,Comp. bio & bioinformatics,Databases,High-performance computing,Operating systems,Programming languages,Algorithms & complexity",Z6nLCukAAAAJ
1,Carnegie Mellon University,Nikolas Martelaro,,Interdisciplinary Areas ,https://hcii.cmu.edu/people/nikolas-martelaro,,,,,Human-computer interaction,SNnC2s4AAAAJ
1,Carnegie Mellon University,Nicolas Christin,,"AI,Interdisciplinary Areas ,System",http://www.andrew.cmu.edu/user/nicolasc,,,,,"Artificial intelligence,Machine learning,The Web & information retrieval   ,Economics & computation,Human-computer interaction,Computer security,Measurement & perf. analysis ,Mobile computing,Operating systems",X5buTmMAAAAJ
1,Carnegie Mellon University,Ziv Bar-Joseph,,"AI,Interdisciplinary Areas ",http://www.cs.cmu.edu/~zivbj,,,,,"Machine learning, Computer graphics,Comp. bio & bioinformatics",9DCRnPkAAAAJ
1,Carnegie Mellon University,Kenneth R. Koedinger,,"AI,Interdisciplinary Areas ",http://pact.cs.cmu.edu/koedinger.html,,,,,"The Web & information retrieval   ,Human-computer interaction",_8DDVkAAAAAJ
1,Carnegie Mellon University,Abhinav Gupta 0001,,"AI,Interdisciplinary Areas ",http://www.cs.cmu.edu/~abhinavg,,,,,"Artificial intelligence,Computer vision,Machine learning, Computer graphics,Robotics",NOSCHOLARPAGE
1,Carnegie Mellon University,Minchen Li,,"AI,Interdisciplinary Areas ",https://www.cs.cmu.edu/~minchenl,,,,,"Machine learning, Computer graphics,Robotics",Gk7K7VkAAAAJ
1,Carnegie Mellon University,Daniel P. Siewiorek,,"AI,Interdisciplinary Areas ,System",https://www.cs.cmu.edu/~dps,,,,,"Artificial intelligence,Human-computer interaction,Computer architecture,Computer networks,Design automation,Embedded & real-time systems ",B13SvmAAAAAJ
1,Carnegie Mellon University,Keenan Crane,,Interdisciplinary Areas ,http://www.cs.cmu.edu/~kmcrane,,,,, Computer graphics,Qs9FzFUAAAAJ
1,Carnegie Mellon University,David Held,,"AI,Interdisciplinary Areas ",http://davheld.github.io,,,,,"Computer vision,Machine learning,Robotics",0QtU-NsAAAAJ
1,Carnegie Mellon University,Zhiwei Steven Wu,,"AI,Interdisciplinary Areas ,Theory",https://zstevenwu.com,,,,,"Artificial intelligence,Machine learning,The Web & information retrieval   ,Economics & computation,Human-computer interaction,Algorithms & complexity",MbF6rTEAAAAJ
1,Carnegie Mellon University,Sara B. Kiesler,,Interdisciplinary Areas ,https://www.cs.cmu.edu/~kiesler,,,,,"Human-computer interaction,Robotics",8Qu_gAMAAAAJ
1,Carnegie Mellon University,Nancy S. Pollard,,"AI,Interdisciplinary Areas ",http://www.cs.cmu.edu/~nsp,,,,,"Machine learning, Computer graphics,Robotics",Lsr_-hsAAAAJ
1,Carnegie Mellon University,Adam Perer,,"AI,Interdisciplinary Areas ",https://perer.org,,,,,"Machine learning, Computer graphics,Human-computer interaction,Visualization",wAxr6b8AAAAJ
1,Carnegie Mellon University,Gregory R. Ganger,,"AI,Interdisciplinary Areas ,System",https://www.ece.cmu.edu/~ganger,,,,,"Machine learning,Human-computer interaction,Visualization,Computer architecture,Computer networks,Computer security,Databases,High-performance computing,Measurement & perf. analysis ,Operating systems",NOSCHOLARPAGE
1,Carnegie Mellon University,Illah R. Nourbakhsh,,"AI,Interdisciplinary Areas ",http://www.cs.cmu.edu/~illah,,,,,"Artificial intelligence,Machine learning,Computer science education,Human-computer interaction,Robotics",S4cEObAAAAAJ
1,Carnegie Mellon University,Alessandro Acquisti,,"Interdisciplinary Areas ,System",http://www.heinz.cmu.edu/~acquisti,,,,,"Economics & computation,Human-computer interaction,Computer security",2XCryp4AAAAJ
1,Carnegie Mellon University,Todd C. Mowry,,"AI,Interdisciplinary Areas ,System",http://www.cs.cmu.edu/~tcm,,,,,"Machine learning,Robotics,Computer architecture,Databases,Operating systems,Programming languages",MYsIXF4AAAAJ
1,Carnegie Mellon University,Christopher G. Atkeson,,"AI,Interdisciplinary Areas ,System",http://www.cs.cmu.edu/~cga,,,,,"Machine learning,Human-computer interaction,Robotics,Mobile computing",NOSCHOLARPAGE
1,Carnegie Mellon University,Christopher J. Langmead,,"AI,Interdisciplinary Areas ",http://www.cs.cmu.edu/~cjl,,,,,"Machine learning,Comp. bio & bioinformatics",NOSCHOLARPAGE
1,Carnegie Mellon University,Seyoung Kim,,"AI,Interdisciplinary Areas ",http://www.cs.cmu.edu/~sssykim,,,,,"Machine learning,Comp. bio & bioinformatics",G99KBM8AAAAJ
1,Carnegie Mellon University,Shubham Tulsiani,,"AI,Interdisciplinary Areas ",https://shubhtuls.github.io,,,,,"Computer vision,Machine learning,Human-computer interaction,Robotics",06rffEkAAAAJ
1,Carnegie Mellon University,Christos Faloutsos,,"AI,Interdisciplinary Areas ,System",http://www.cs.cmu.edu/~christos,,,,," Natural language processing,Artificial intelligence,Computer vision,Machine learning,The Web & information retrieval   ,Comp. bio & bioinformatics,Human-computer interaction,Visualization,Computer networks,Databases,High-performance computing,Operating systems",nd8lQQIAAAAJ
1,Carnegie Mellon University,Yonatan Bisk,,"AI,Interdisciplinary Areas ",https://yonatanbisk.com,,,,," Natural language processing,Artificial intelligence,Computer vision,Machine learning,Robotics",bWoGh8UAAAAJ
1,Carnegie Mellon University,Alexandra Ion,,Interdisciplinary Areas ,http://www.alexandraion.com,,,,," Computer graphics,Human-computer interaction",pP920LoAAAAJ
1,Carnegie Mellon University,Yong-Lae Park,,"AI,Interdisciplinary Areas ",http://www.cs.cmu.edu/~ylpark,,,,,"Computer vision,Robotics",kBsTE7AAAAAJ
1,Carnegie Mellon University,Yiming Yang,,"AI,Interdisciplinary Areas ,System",http://www.cs.cmu.edu/~./yiming,,,,," Natural language processing,Artificial intelligence,Computer vision,Machine learning,The Web & information retrieval   ,Robotics,Databases",MlZq4XwAAAAJ
1,Carnegie Mellon University,Levent Burak Kara,,Interdisciplinary Areas ,http://vdel.me.cmu.edu,,,,," Computer graphics,Human-computer interaction",_X2eOeQAAAAJ
1,Carnegie Mellon University,Geoff Kaufman,,Interdisciplinary Areas ,https://www.hcii.cmu.edu/people/geoff-kaufman,,,,,Human-computer interaction,acfjWDAAAAAJ
1,Carnegie Mellon University,J. Andrew Bagnell,,"AI,Interdisciplinary Areas ",http://www.ri.cmu.edu/person.html?person_id=689,,,,,"Artificial intelligence,Computer vision,Machine learning,Human-computer interaction,Robotics",7t4jbPQAAAAJ
1,Carnegie Mellon University,Alonzo Kelly,,"AI,Interdisciplinary Areas ",http://www.frc.ri.cmu.edu/users/alonzo,,,,,"Computer vision,Robotics",W7yeGUoAAAAJ
1,Carnegie Mellon University,Jun-Yan Zhu,,"AI,Interdisciplinary Areas ",https://people.csail.mit.edu/junyanz,,,,,"Artificial intelligence,Computer vision,Machine learning, Computer graphics,Robotics",UdpacsMAAAAJ
1,Carnegie Mellon University,Ioannis Gkioulekas,,"AI,Interdisciplinary Areas ",http://ri.cmu.edu/ri-faculty/ioannis-gkioulekas,,,,,"Computer vision,Machine learning, Computer graphics,Robotics",yqt5PeEAAAAJ
1,Carnegie Mellon University,Claire Le Goues,,"Interdisciplinary Areas ,System",https://clairelegoues.com,,,,,"Robotics,Computer security,Programming languages,Software engineering",Cmr9ljkAAAAJ
1,Carnegie Mellon University,Ronald Rosenfeld,,"AI,Interdisciplinary Areas ",http://www.cs.cmu.edu/~roni,,,,,"Artificial intelligence,Machine learning,The Web & information retrieval   ,Comp. bio & bioinformatics,Human-computer interaction",vrbjXlMAAAAJ
1,Carnegie Mellon University,Geoffrey J. Gordon,,"AI,Interdisciplinary Areas ,System",http://www.cs.cmu.edu/~ggordon,,,,,"Artificial intelligence,Machine learning,Comp. bio & bioinformatics,Robotics,Databases",0OY5L3UAAAAJ
1,Carnegie Mellon University,Lei Li 0005,,"AI,Interdisciplinary Areas ,System",https://lileicc.github.io,,,,," Natural language processing,Artificial intelligence,Computer vision,Machine learning,Robotics,Databases,High-performance computing",BYXqAlwAAAAJ
1,Carnegie Mellon University,J. Zico Kolter,,"AI,Interdisciplinary Areas ",http://www.zicokolter.com,,,,," Natural language processing,Artificial intelligence,Computer vision,Machine learning,Robotics",UXh1I6UAAAAJ
1,Carnegie Mellon University,Justine Cassell,,"AI,Interdisciplinary Areas ",https://www.hcii.cmu.edu/people/justine-cassell,,,,," Natural language processing,Artificial intelligence,Computer vision, Computer graphics,Human-computer interaction",wkC9xHMAAAAJ
2,University of Washington,Michael D. Ernst,,"AI,Interdisciplinary Areas ,System,Theory",https://homes.cs.washington.edu/~mernst,,,,,"Artificial intelligence,Computer science education,Human-computer interaction,Computer security,Databases,Operating systems,Programming languages,Software engineering, Logic & verification",oQ6AeyEAAAAJ
2,University of Washington,Jacob O. Wobbrock,,Interdisciplinary Areas ,http://faculty.washington.edu/wobbrock,,,,,Human-computer interaction,TmZ3howAAAAJ
2,University of Washington,Pang Wei Koh,,"AI,Interdisciplinary Areas ",https://koh.pw,,,,," Natural language processing,Machine learning,Comp. bio & bioinformatics",Nn990CkAAAAJ
2,University of Washington,Steven L. Tanimoto,,"Interdisciplinary Areas ,System",http://www.cs.washington.edu/people/faculty/tanimoto,,,,," Computer graphics,Computer architecture",NOSCHOLARPAGE
2,University of Washington,Shyamnath Gollakota,,"AI,Interdisciplinary Areas ,System",https://homes.cs.washington.edu/~gshyam,,,,,"Artificial intelligence, Computer graphics,Human-computer interaction,Robotics,Computer networks,Computer security,Mobile computing,Operating systems",NOSCHOLARPAGE
